about,4_infection,4_dead,5_infection,5_dead,6_infection,6_dead,7_infection,7_dead,8_infection,8_dead,9_infection,9_dead,10_infection,10_dead,11_infection,11_dead,infection_all,dead_all
seoul,183,2,228,2,452,3,288,4,2267,12,1424,33,719,22,2794,15,8355,93
busan,18,0,10,0,7,0,17,0,130,0,120,1,171,4,217,8,690,13
daegu,168,58,31,13,23,4,36,2,107,0,85,3,42,2,58,3,550,85
incheon,29,0,113,0,135,1,42,1,335,1,200,5,129,2,366,1,1349,11
gwangju,10,0,2,0,12,0,160,2,170,0,121,1,16,0,185,0,676,3
daejeon,4,0,6,1,71,0,49,1,90,0,105,2,82,2,52,0,459,6
ulsan,4,1,9,0,3,0,4,0,30,0,58,1,16,0,35,0,159,2
saejong,0,0,1,0,3,0,0,0,17,0,9,0,6,0,18,0,54,0
gyeonggi,200,9,164,4,367,4,339,8,1714,9,1123,34,1019,15,1882,27,6808,110
gangwon,17,1,4,1,8,0,9,0,115,0,35,0,55,0,373,3,616,5
chungcheongnam,1,0,15,0,5,0,9,0,55,1,43,0,18,1,139,1,285,3
chungcheongbuk,15,0,3,0,22,0,23,1,142,0,152,5,57,2,358,1,772,9
jeollabuk,5,0,3,0,6,0,12,0,48,0,41,0,38,0,168,2,321,2
jeollanam,6,0,4,0,5,0,14,0,104,0,27,2,16,0,238,0,414,2
gyeongsangbuk,65,14,14,2,10,0,13,0,54,0,96,2,36,1,117,0,405,19
gyeongsangnam,21,0,6,0,11,0,25,0,77,0,55,0,25,0,309,1,529,1
jeju,4,0,2,0,4,0,7,0,19,0,14,0,0,0,21,0,71,0
all,750,85,615,23,1144,12,1047,19,5474,23,3708,89,2445,51,7330,62,22513,364
