-,-,2020. 04,2020. 04,2020. 05,2020. 05,2020. 06,2020. 06,2020. 07,2020. 07,2020. 08,2020. 08,2020. 09,2020. 09,2020. 10,2020. 10,2020. 11,2020. 11
category1,category2,infection,dead,infection,dead,infection,dead,infection,dead,infection,dead,infection,dead,infection,dead,infection,dead
all,all,979,85,703,23,1334,12,1509,19,5642,23,3865,89,2713,51,7769,62
area,seoul,183,2,228,2,452,3,288,4,2267,12,1424,33,719,22,2794,15
area,busan,18,0,10,0,7,0,17,0,130,0,120,1,171,4,217,8
area,daegu,168,58,31,13,23,4,36,2,107,0,85,3,42,2,58,3
area,incheon,29,0,113,0,135,1,42,1,335,1,200,5,129,2,366,1
area,gwangju,10,0,2,0,12,0,160,2,170,0,121,1,16,0,185,0
area,daejeon,4,0,6,1,71,0,49,1,90,0,105,2,82,2,52,0
area,ulsan,4,1,9,0,3,0,4,0,30,0,58,1,16,0,35,0
area,saejong,0,0,1,0,3,0,0,0,17,0,9,0,6,0,18,0
area,gyeonggi,200,9,164,4,367,4,339,8,1714,9,1123,34,1019,15,1882,27
area,gangwon,17,1,4,1,8,0,9,0,115,0,35,0,55,0,373,3
area,chungcheongnam,1,0,15,0,5,0,9,0,55,1,43,0,18,1,139,1
area,chungcheongbuk,15,0,3,0,22,0,23,1,142,0,152,5,57,2,358,1
area,jeollabuk,5,0,3,0,6,0,12,0,48,0,41,0,38,0,168,2
area,jeollanam,6,0,4,0,5,0,14,0,104,0,27,2,16,0,238,0
area,gyeongsangbuk,65,14,14,2,10,0,13,0,54,0,96,2,36,1,117,0
area,gyeongsangnam,21,0,6,0,11,0,25,0,77,0,55,0,25,0,309,1
area,jeju,4,0,2,0,4,0,7,0,19,0,14,0,0,0,21,0
area,Quarantine,229,0,88,0,190,0,462,0,168,0,157,0,268,0,439,0
sex,male,214,29,416,11,625,6,968,9,2562,12,1939,45,1320,30,3658,23
sex,female,220,26,244,10,564,3,537,10,3080,11,1926,44,1253,18,3398,30
age,0s,14,0,16,0,31,0,53,0,196,0,115,0,89,0,200,0
age,10s,46,0,62,0,48,0,74,0,363,0,134,0,114,0,426,0
age,20s,133,0,214,0,171,0,258,0,700,0,393,0,354,0,907,0
age,30s,66,1,124,0,188,0,313,0,682,0,370,0,363,0,806,0
age,40s,45,1,91,0,137,0,249,0,762,1,424,0,373,0,906,0
age,50s,47,2,72,0,213,0,234,1,1119,0,723,3,434,2,1067,2
age,60s,44,9,54,3,235,2,185,0,1115,1,814,2,395,9,812,8
age,70s,20,17,15,6,110,2,97,8,517,7,442,39,199,15,421,16
age,80s,19,25,12,12,56,5,42,10,188,14,185,45,173,22,265,24
